price,date,lag_1,lag_2,lag_3,day_of_week,month,is_weekend
19500,2024-06-11 22:47:51,19480.0,19350.0,19460.0,1,6,0
19100,2024-06-14 08:52:41,19500.0,19480.0,19350.0,4,6,0
19840,2024-06-14 21:17:37,19100.0,19500.0,19480.0,4,6,0
17500,2024-06-15 12:49:24,19840.0,19100.0,19500.0,5,6,1
17500,2024-06-15 12:49:24,17500.0,19840.0,19100.0,5,6,1
17500,2024-06-16 02:27:46,17500.0,17500.0,19840.0,6,6,1
17500,2024-06-16 02:27:46,17500.0,17500.0,17500.0,6,6,1
19350,2024-06-17 11:56:50,17500.0,17500.0,17500.0,0,6,0
19900,2024-06-18 00:46:40,19350.0,17500.0,17500.0,1,6,0
19600,2024-06-19 07:41:25,19900.0,19350.0,17500.0,2,6,0
19940,2024-06-20 11:01:36,19600.0,19900.0,19350.0,3,6,0
20230,2024-06-21 02:16:42,19940.0,19600.0,19900.0,4,6,0
19940,2024-06-21 17:11:07,20230.0,19940.0,19600.0,4,6,0
17300,2024-06-23 14:28:35,19940.0,20230.0,19940.0,6,6,1
19940,2024-06-24 08:53:53,17300.0,19940.0,20230.0,0,6,0
19900,2024-06-24 19:39:44,19940.0,17300.0,19940.0,0,6,0
19900,2024-06-24 19:39:44,19900.0,19940.0,17300.0,0,6,0
19900,2024-06-25 11:17:52,19900.0,19900.0,19940.0,1,6,0
19900,2024-06-25 11:17:52,19900.0,19900.0,19900.0,1,6,0
19700,2024-06-25 23:48:43,19900.0,19900.0,19900.0,1,6,0
20270,2024-06-26 15:25:02,19700.0,19900.0,19900.0,2,6,0
17300,2024-06-27 07:12:49,20270.0,19700.0,19900.0,3,6,0
19900,2024-06-28 12:26:04,17300.0,20270.0,19700.0,4,6,0
20270,2024-06-29 02:56:46,19900.0,17300.0,20270.0,5,6,1
19800,2024-06-29 18:00:43,20270.0,19900.0,17300.0,5,6,1
20270,2024-06-30 10:10:05,19800.0,20270.0,19900.0,6,6,1
19800,2024-07-01 15:52:31,20270.0,19800.0,20270.0,0,7,0
19500,2024-07-02 08:22:58,19800.0,20270.0,19800.0,1,7,0
19940,2024-07-04 09:43:39,19500.0,19800.0,20270.0,3,7,0
19600,2024-07-06 12:20:29,19940.0,19500.0,19800.0,5,7,1
19800,2024-07-07 01:55:21,19600.0,19940.0,19500.0,6,7,1
19900,2024-07-11 05:39:54,19800.0,19600.0,19940.0,3,7,0
19880,2024-07-14 21:19:02,19900.0,19800.0,19600.0,6,7,1
20170,2024-07-15 10:35:17,19880.0,19900.0,19800.0,0,7,0
19440,2024-07-17 17:27:38,20170.0,19880.0,19900.0,2,7,0
19940,2024-07-18 16:10:42,19440.0,20170.0,19880.0,3,7,0
19950,2024-07-18 22:48:43,19940.0,19440.0,20170.0,3,7,0
19940,2024-07-22 15:18:31,19950.0,19940.0,19440.0,0,7,0
19940,2024-07-22 15:18:31,19940.0,19950.0,19940.0,0,7,0
20150,2024-07-22 21:38:13,19940.0,19940.0,19950.0,0,7,0
20150,2024-07-22 21:38:13,20150.0,19940.0,19940.0,0,7,0
20240,2024-07-23 16:52:39,20150.0,20150.0,19940.0,1,7,0
19800,2024-07-28 14:43:37,20240.0,20150.0,20150.0,6,7,1
19800,2024-07-30 23:45:31,19800.0,20240.0,20150.0,1,7,0
19800,2024-07-30 23:45:31,19800.0,19800.0,20240.0,1,7,0
19800,2024-07-31 12:13:38,19800.0,19800.0,19800.0,2,7,0
19800,2024-07-31 12:13:38,19800.0,19800.0,19800.0,2,7,0
19900,2024-07-31 17:40:39,19800.0,19800.0,19800.0,2,7,0
19960,2024-08-04 15:05:07,19900.0,19800.0,19800.0,6,8,1
19990,2024-08-06 16:30:17,19960.0,19900.0,19800.0,1,8,0
19800,2024-08-11 21:32:39,19990.0,19960.0,19900.0,6,8,1
20120,2024-08-18 14:41:03,19800.0,19990.0,19960.0,6,8,1
20120,2024-08-18 14:41:03,20120.0,19800.0,19990.0,6,8,1
20430,2024-08-21 21:33:14,20120.0,20120.0,19800.0,2,8,0
20430,2024-08-21 21:33:14,20430.0,20120.0,20120.0,2,8,0
20510,2024-08-23 15:29:29,20430.0,20430.0,20120.0,4,8,0
19820,2024-08-28 04:25:55,20510.0,20430.0,20430.0,2,8,0
